h,data,real,pred,variante
12,2022-04-24,13.0,2.061519614883959,atual
12,2022-05-08,11.0,0.0,atual
12,2022-05-22,3.0,0.0,atual
12,2022-06-05,1.0,7.486910495349082,atual
12,2022-06-19,0.0,4.92348794196666,atual
12,2022-07-03,0.0,2.2924462039755724,atual
12,2022-07-17,0.0,1.1157238081742882,atual
12,2022-07-31,0.0,0.0,atual
12,2022-08-14,6.0,3.250125750489826,atual
12,2022-08-28,7.0,0.0,atual
12,2022-09-11,10.0,2.5895851734054265,atual
12,2022-09-25,0.0,1.2785635986264428,atual
12,2022-10-09,0.0,5.0820377251310624,atual
12,2022-10-23,2.0,0.0,atual
12,2022-11-06,2.0,0.0,atual
12,2022-11-20,10.0,19.8041889356536,atual
12,2022-12-04,27.0,0.0,atual
12,2022-12-18,93.0,85.05950620080928,atual
12,2023-01-01,250.0,331.64133912635145,atual
12,2023-01-15,541.0,186.10120693023396,atual
12,2023-01-29,581.0,0.0,atual
12,2023-02-12,762.0,277.38266907241047,atual
12,2023-02-26,473.0,109.57623479174768,atual
12,2023-03-12,225.0,74.50424471499322,atual
12,2023-03-26,66.0,0.0,atual
12,2023-04-09,74.0,179.17288777077678,atual
12,2023-04-23,32.0,1.4477600689157004,atual
12,2023-05-07,15.0,0.0,atual
12,2023-05-21,13.0,8.498310491992576,atual
12,2023-06-04,9.0,0.0,atual
12,2023-06-18,9.0,7.690833879123597,atual
12,2023-07-02,0.0,12.095572379057975,atual
12,2023-07-16,5.0,3.4614239680328285,atual
12,2023-07-30,3.0,4.363179876082239,atual
12,2023-08-13,6.0,8.213204078245116,atual
12,2023-08-27,3.0,2.490314853177236,atual
12,2023-09-10,7.0,24.90542589161087,atual
12,2023-09-24,3.0,2.9355934096288077,atual
12,2023-10-08,9.0,26.850926709115633,atual
12,2023-10-22,12.0,22.892607843616346,atual
12,2023-11-05,39.0,26.93111748605921,atual
12,2023-11-19,156.0,63.656021137370914,atual
12,2023-12-03,558.0,69.03510337145259,atual
12,2023-12-17,1227.0,177.01784521390093,atual
