h,data,real,pred,maximo_visto_no_treino,variante
8,2021-07-18,0.0,0.12776506212279376,64.0,log1p
8,2021-08-01,0.0,0.08714437449557443,64.0,log1p
8,2021-08-15,0.0,0.006527649846513844,64.0,log1p
8,2021-08-29,0.0,-0.02822981850197764,64.0,log1p
8,2021-09-12,0.0,0.06924531593388926,64.0,log1p
8,2021-09-26,0.0,0.05592918421414307,64.0,log1p
8,2021-10-10,1.0,0.09280036575488088,64.0,log1p
8,2021-10-24,0.0,0.06885141978723136,64.0,log1p
8,2021-11-07,1.0,0.5499893531562212,64.0,log1p
8,2021-11-21,2.0,0.8950717482240438,64.0,log1p
8,2021-12-05,1.0,1.5136985001208934,64.0,log1p
8,2021-12-19,9.0,1.5118241843207505,64.0,log1p
8,2022-01-02,51.0,3.1608115734975177,64.0,log1p
8,2022-01-16,269.0,13.422468815682468,203.0,log1p
8,2022-01-30,482.0,29.01261870543719,463.0,log1p
8,2022-02-13,753.0,6.492102190745055,524.0,log1p
8,2022-02-27,569.0,32.746725044943574,879.0,log1p
8,2022-03-13,223.0,105.675800724817,879.0,log1p
8,2022-03-27,122.0,57.797478796784,879.0,log1p
8,2022-04-10,61.0,17.797629674104346,879.0,log1p
8,2022-04-24,26.0,10.539608776734894,879.0,log1p
8,2022-05-08,14.0,16.61785363583013,879.0,log1p
8,2022-05-22,13.0,2.7483363957959086,879.0,log1p
8,2022-06-05,11.0,3.2531677879892875,879.0,log1p
8,2022-06-19,3.0,2.0460914166530424,879.0,log1p
8,2022-07-03,1.0,0.11512855870680964,879.0,log1p
8,2022-07-17,0.0,0.553900785077986,879.0,log1p
8,2022-07-31,0.0,0.2233746176146491,879.0,log1p
8,2022-08-14,0.0,-0.01930128442650436,879.0,log1p
8,2022-08-28,0.0,0.5118975103074616,879.0,log1p
8,2022-09-11,6.0,0.06517549035455153,879.0,log1p
8,2022-09-25,7.0,1.4844859570904059,879.0,log1p
8,2022-10-09,10.0,3.593565591089805,879.0,log1p
8,2022-10-23,0.0,0.28364160785939163,879.0,log1p
8,2022-11-06,0.0,2.2142680284855367,879.0,log1p
8,2022-11-20,2.0,4.750307721387616,879.0,log1p
8,2022-12-04,2.0,0.7979072528123247,879.0,log1p
8,2022-12-18,10.0,0.37626887736172276,879.0,log1p
8,2023-01-01,27.0,124.78776593158715,879.0,log1p
8,2023-01-15,93.0,2.978041226408737,879.0,log1p
8,2023-01-29,250.0,11.163841483408586,879.0,log1p
8,2023-02-12,541.0,1132.6740685333418,879.0,log1p
8,2023-02-26,581.0,337.46831099607084,879.0,log1p
8,2023-03-12,762.0,147.20863186250335,879.0,log1p
8,2023-03-26,473.0,65.61001873469787,879.0,log1p
8,2023-04-09,225.0,393.33140652708727,879.0,log1p
8,2023-04-23,66.0,30.69903963632669,879.0,log1p
8,2023-05-07,74.0,31.7137872177835,879.0,log1p
8,2023-05-21,32.0,35.897245584723414,879.0,log1p
8,2023-06-04,15.0,17.201907501023687,879.0,log1p
8,2023-06-18,13.0,8.407000463098845,879.0,log1p
8,2023-07-02,9.0,12.557877467919901,879.0,log1p
8,2023-07-16,9.0,2.8466774060296545,879.0,log1p
8,2023-07-30,0.0,1.7370937990385962,879.0,log1p
8,2023-08-13,5.0,-0.14050974311414474,879.0,log1p
8,2023-08-27,3.0,0.36250406089883613,879.0,log1p
8,2023-09-10,6.0,3.2726545750287843,879.0,log1p
8,2023-09-24,3.0,4.874759060402303,879.0,log1p
8,2023-10-08,7.0,2.4463366120781673,879.0,log1p
8,2023-10-22,3.0,1.6736686605464322,879.0,log1p
8,2023-11-05,9.0,1.468257582513134,879.0,log1p
8,2023-11-19,12.0,6.849602094220895,879.0,log1p
8,2023-12-03,39.0,7.892565828098705,879.0,log1p
8,2023-12-17,156.0,11.653961248561446,879.0,log1p
8,2023-12-31,558.0,170.72748638188565,879.0,log1p
8,2024-01-14,1227.0,223.56146667120154,1311.0,log1p
8,2024-01-28,1109.0,316.87755799312583,1311.0,log1p
8,2024-02-11,1849.0,239.4640073498652,1601.0,log1p
8,2024-02-25,1855.0,693.0902001405057,1849.0,log1p
8,2024-03-10,911.0,431.51449287263625,1855.0,log1p
8,2024-03-24,646.0,558.8259880386938,1855.0,log1p
8,2024-04-07,199.0,272.35347759318915,1855.0,log1p
